연령,가족 구성원 수,주택규모,월평균 가구소득,성별_1,성별_2,주택형태_1,주택형태_2,주택형태_3,주택형태_4,직업_1,직업_10,직업_2,직업_3,직업_4,직업_5,직업_6,직업_7,직업_8,직업_9,반려동물 사육경험_1,반려동물 사육경험_2,반려동물 사육경험_3,향후 반려동물 사육의향
52,4,35,550,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
56,5,25,550,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0
59,1,15,50,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0
36,3,25,350,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
37,3,25,450,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
24,1,45,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0
35,4,25,450,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
25,3,35,450,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0
29,6,60,750,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
34,2,15,350,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
42,4,25,450,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
44,1,5,150,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
59,2,60,750,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.2
48,4,35,650,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.8
28,3,35,450,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
45,3,60,650,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
43,3,25,450,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.2
32,2,15,350,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
26,3,25,150,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
57,4,35,450,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
33,2,15,250,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
47,4,35,450,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6000000000000001
44,4,35,550,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
36,4,25,550,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.6000000000000001
32,2,5,450,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6000000000000001
25,5,25,750,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
29,3,25,450,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
32,4,35,450,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
53,4,35,750,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.8
32,3,15,450,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2
57,1,15,150,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.8
35,2,15,550,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0
28,4,35,550,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
41,2,15,450,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.8
43,3,35,750,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0
36,3,15,550,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8
30,4,35,350,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.8
51,2,15,250,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
47,1,5,150,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4
37,3,25,250,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.8
40,2,15,150,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.8
59,1,15,250,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
36,4,25,650,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
51,4,25,450,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4
58,4,60,750,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
60,3,25,450,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.8
50,3,25,350,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
34,4,25,750,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
59,5,60,650,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.6000000000000001
54,4,35,450,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0
41,5,35,750,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
33,4,5,150,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8
58,5,35,350,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
24,5,15,150,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.4
54,4,15,150,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.8
42,3,25,450,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0
